category,age_range,photo_path,description
Sleepwear,6–9 months,baby_clothes_photos/baby_clothes_photos\17361858521251363871633476553589.jpg,2.5 tog sleeping bag
Sleepwear,6–9 months,baby_clothes_photos/baby_clothes_photos\17361859364794446056907314693576.jpg,2.5 tog sleeping bag
Sleepwear,6–9 months,baby_clothes_photos/baby_clothes_photos\17361860023196718056673364553706.jpg,2.5 tog sleeping bag 
Sleepwear,6–9 months,baby_clothes_photos/baby_clothes_photos\17361860367024021327932304831242.jpg,2.5 tog sleeping bag
Home,No age,baby_clothes_photos/baby_clothes_photos\17361861238958252690099288647427.jpg,Pooh fitted sheet x 2 
Home,No age,baby_clothes_photos/baby_clothes_photos\17361861816826747456816407785028.jpg,Pooh duvet cover and pillow case
Home,No age,baby_clothes_photos/baby_clothes_photos\17361862192975378673148810330598.jpg,Dumbo quilt 4 tog
Home,No age,baby_clothes_photos/baby_clothes_photos\17361862568813150237715560387840.jpg,Pooh quilt 4 tog
Accessories,0–3 months,baby_clothes_photos/baby_clothes_photos\17361863032844121004315896118586.jpg,Caps x 2
Accessories,6–9 months,baby_clothes_photos/baby_clothes_photos\17361863371001561774725879080608.jpg,Knitted pink bonnet
Accessories,6–9 months,baby_clothes_photos/baby_clothes_photos\1736186378455904480682133821256.jpg,Pooh knitted bobble hat
Accessories,6–9 months,baby_clothes_photos/baby_clothes_photos\17361864216912749641060867125547.jpg,Pink knitted hat
Accessories,6–9 months,baby_clothes_photos/baby_clothes_photos\17361864493153741547135038551469.jpg,Beige sun hat
Accessories,6–9 months,baby_clothes_photos/baby_clothes_photos\17361864825957589981083636320215.jpg,Yellow knitted bonnet
Accessories,3–6 months,baby_clothes_photos/baby_clothes_photos\17361865203146502671162030795396.jpg,Cap
Accessories,18–24 months,baby_clothes_photos/baby_clothes_photos\17361865535842620228078298031223.jpg,Summer hat
Accessories,12–18 months,baby_clothes_photos/baby_clothes_photos\17361865841772753255844264618010.jpg,Summer hat
Home,No age,baby_clothes_photos/baby_clothes_photos\17361940277287871146231163798793.jpg,Changing Mat
Jackets,3–4 years,baby_clothes_photos/baby_clothes_photos\17361940888143158227529028928813.jpg,Waterproof bodysuit
Home,No age,baby_clothes_photos/baby_clothes_photos\17361941365077736138039537628584.jpg,"3 x blankets, cot wraps, muslins and swaddles"
Tops,3–6 months,baby_clothes_photos/baby_clothes_photos\17371180232315655986875447759385.jpg,HAPPY CREW 3 piece l/s tops
Jumpers,0–3 months,baby_clothes_photos/baby_clothes_photos\17371181000838758985223179119155.jpg,Little pud christmas jumper
Sets,0–3 months,baby_clothes_photos/baby_clothes_photos\17371181915818542677201407518986.jpg,Lilo and Stitch l/s top and legging set
Bodysuits,0–3 months,baby_clothes_photos/baby_clothes_photos\1737118554780894958542995358674.jpg,Sophie la Giraffe 3 piece bodysuit set
Bodysuits,3–6 months,baby_clothes_photos/baby_clothes_photos\17371186525294879002903447841628.jpg,Green bear bodysuits x 2
Bodysuits,3–6 months,baby_clothes_photos/baby_clothes_photos\17371194954414922369878143102479.jpg,Blue dinosaurs in space bodysuit 
Bodysuits,0–3 months,baby_clothes_photos/baby_clothes_photos\173711968381428826803404392514.jpg,Acorn long bodysuit 
Bodysuits,0–3 months,baby_clothes_photos/baby_clothes_photos\17371197277087206442114426254594.jpg,Sophie La Giraffe long bodysuits x 2
Sets,3–6 months,baby_clothes_photos/baby_clothes_photos\17371197814338910238409021029409.jpg,Casper the friendly ghost jumper and leggings
Tops,3–6 months,baby_clothes_photos/baby_clothes_photos\20250120_171355.jpg,floral top with thrill neckline
Jumpers,0–3 months,baby_clothes_photos/baby_clothes_photos\20250120_171311.jpg,bambi and jumper jumper
Jumpers,3–6 months,baby_clothes_photos/baby_clothes_photos\20250120_171228.jpg,mustard yellow jumper with thrill neckline
Dungarees,9–12 months,baby_clothes_photos/baby_clothes_photos\20250120_171701.jpg,lion and zebra dungaree with striped top
Dungarees,0–3 months,baby_clothes_photos/baby_clothes_photos\20250120_171855.jpg,"blue dungaree with polka dots and white top, mushrooms houses."
Jumpers,18–24 months,baby_clothes_photos/baby_clothes_photos\20250120_172102.jpg,fox jumper
Bodysuits,3–6 months,baby_clothes_photos/baby_clothes_photos\20250120_172212.jpg,5x  disney primark body suits L/S
Bodysuits,0–3 months,baby_clothes_photos/baby_clothes_photos\17434396129098179087358510824179.jpg,Winnie the Pooh bodysuit dress
Bodysuits,0–3 months,baby_clothes_photos/baby_clothes_photos\17434396736001349042910075687601.jpg,Winnie the Pooh bodysuit frill collar
Bodysuits,0–3 months,baby_clothes_photos/baby_clothes_photos\17434397121967158733043021928887.jpg,Winnie the Pooh velour bodysuit
Tops,0–3 months,baby_clothes_photos/baby_clothes_photos\17434397678818710072741907541653.jpg,Toolbox boat tshirt
Knitwear,0–3 months,baby_clothes_photos/baby_clothes_photos\17434398204615025674611676554400.jpg,Blue matinee cardigan
Dresses,0–3 months,baby_clothes_photos/baby_clothes_photos\17434399052799143428228699699820.jpg,Pink ticking dress
Dresses,0–3 months,baby_clothes_photos/baby_clothes_photos\1743439959287427975671687434189.jpg,Bambi Pink Corduroy Dress
Accessories,0–3 months,baby_clothes_photos/baby_clothes_photos\17434400275054993558989547295125.jpg,Seashell swimsuit 
Bodysuits,0–3 months,baby_clothes_photos/baby_clothes_photos\17434400995648877667747869779697.jpg,Woodland friends bodysuit set
Dungarees,0–3 months,baby_clothes_photos/baby_clothes_photos\17434401892943040768645321658642.jpg,Disney Dalmatians dungaree set and socks
